日期,艙段,氮,磷,鉀,作物,評分
20310101,F艙,95.1,1.0,68.3,羽衣甘藍,7
2031/2/2,B艙,21.3,88.1,12.3,小麥,6
2031/3/3,E艙,98.1,40.8,41.6,馬鈴薯,6
2031-04-04,E艙,70.4,30.0,29.2,羽衣甘藍,1
2031-05-05,D艙,17.2,45.1,46.7,番茄,10
2031/6/6,C艙,94.4,53.4,20.6,菠菜,3
20310707,D艙,28.4,92.9,55.5,藻類,10
2031/8/8,D艙,10.7,85.9,89.1,馬鈴薯,1
20310909,C艙,72.5,15.8,39.9,大豆,3
2031/10/10,B艙,93.1,12.4,30.7,藻類,8
2031-11-11,A艙,14.2,66.2,86.2,藻類,5
2031/12/12,C艙,98.9,32.6,40.2,羽衣甘藍,5
2031-01-13,E艙,45.9,11.2,76.8,馬鈴薯,5
2031-02-14,D艙,9.4,62.5,75.0,羽衣甘藍,10
20310315,C艙,84.3,76.0,34.5,番茄,9
2031-04-16,C艙,33.6,78.9,23.3,大豆,8
20310517,C艙,12.4,45.7,38.1,大豆,3
2031-06-18,A艙,6.6,40.1,43.0,番茄,7
20310719,F艙,29.4,51.9,27.1,馬鈴薯,7
2031/8/20,E艙,19.0,16.9,56.7,馬鈴薯,5
2031/9/21,B艙,16.1,14.3,55.6,大豆,8
2031/10/22,C艙,8.5,13.2,85.9,小麥,3
2031/11/23,E艙,11.2,19.2,98.3,小麥,3
2031-12-24,C艙,87.7,34.7,54.1,羽衣甘藍,3
2031/1/25,E艙,89.2,83.5,60.0,馬鈴薯,1
20310226,A艙,55.8,54.5,19.4,藻類,4
20310327,A艙,16.3,98.7,21.2,甘藷,6
20310428,F艙,44.8,5.1,,大豆,6
2031-05-01,A艙,52.3,94.5,82.4,甘藷,7
2031-06-02,E艙,86.9,31.6,10.6,菠菜,7
2031/7/3,B艙,83.9,65.7,68.2,菠菜,4
2031/8/4,F艙,56.0,80.4,91.4,大豆,7
2031-09-05,D艙,75.9,46.2,75.0,藻類,2
20311006,E艙,71.1,30.3,25.8,大豆,7
20311107,E艙,51.4,45.0,96.2,甘藷,4
20311208,B艙,21.7,44.8,50.3,馬鈴薯,7
20310109,B艙,80.0,34.8,86.1,大豆,8
2031-02-10,A艙,25.4,60.0,91.0,甘藷,7
20310311,A艙,32.5,80.6,93.6,藻類,6
2031-04-12,E艙,90.5,7.7,31.4,羽衣甘藍,5
20310513,F艙,82.8,87.7,34.2,甘藷,6
20310614,F艙,71.1,90.9,5.4,菠菜,3
2031-07-15,A艙,83.2,32.4,20.5,藻類,6
2031-08-16,E艙,79.6,20.4,48.8,羽衣甘藍,7
20310917,F艙,27.6,17.6,42.1,小麥,2
2031/10/18,B艙,23.8,30.1,31.4,羽衣甘藍,5
2031-11-19,E艙,18.5,47.3,18.5,番茄,8
2031-12-20,C艙,73.5,8.4,44.1,菠菜,2
20310121,F艙,77.6,30.3,31.9,藻類,9
2031-02-22,E艙,63.0,60.0,24.3,甘藷,6
20310323,E艙,21.5,21.9,58.0,小麥,9
2031/4/24,C艙,5.8,78.4,29.0,藻類,2
2031/5/25,F艙,18.1,70.1,95.2,大豆,7
2031-06-26,B艙,1.8,1.8,46.0,大豆,8
2031-07-27,A艙,43.6,44.8,21.7,羽衣甘藍,2
2031/8/28,A艙,23.4,77.9,18.6,菠菜,4
2031/9/1,D艙,69.9,21.4,80.8,菠菜,7
2031/10/2,C艙,26.3,46.2,68.2,甘藷,5
2031-11-03,E艙,52.4,73.5,14.1,番茄,3
2031-12-04,F艙,88.1,50.4,13.6,藻類,4
20310105,D艙,19.3,11.8,69.2,羽衣甘藍,1
20310206,F艙,43.3,75.0,,甘藷,2
2031-03-07,A艙,50.3,71.5,99.7,番茄,5
2031/4/8,F艙,41.6,25.8,51.8,馬鈴薯,1
2031/5/9,E艙,7.5,22.3,49.0,羽衣甘藍,3
2031/6/10,B艙,,43.9,10.9,羽衣甘藍,1
2031-07-11,D艙,70.5,48.9,35.5,番茄,8
2031-08-12,C艙,22.5,59.8,62.4,藻類,10
2031/9/13,E艙,20.7,56.7,1.3,,3
2031-10-14,E艙,46.4,52.0,95.8,大豆,6
20311115,E艙,10.4,90.5,7.8,番茄,1
2031/12/16,C艙,16.4,4.1,11.6,藻類,10
2031-01-17,D艙,39.6,18.0,15.8,菠菜,3
2031-02-18,C艙,54.1,17.0,97.8,藻類,10
2031-03-19,A艙,96.5,32.5,4.8,馬鈴薯,6
20310420,D艙,24.5,83.4,43.1,番茄,6
2031-05-21,A艙,81.2,67.3,90.8,大豆,8
2031/6/22,E艙,35.5,97.9,51.4,小麥,4
2031-07-23,E艙,23.1,14.8,7.3,小麥,3
20310824,E艙,26.5,57.6,91.4,藻類,3
20310925,F艙,45.4,14.3,76.2,藻類,4
2031/10/26,D艙,46.2,49.8,18.0,大豆,8
2031-11-27,A艙,18.5,54.1,55.0,番茄,2
2031/12/28,A艙,59.8,94.4,78.6,大豆,5
2031/1/1,B艙,38.2,79.6,74.7,甘藷,5
20310202,A艙,33.9,73.3,72.4,藻類,4
2031-03-03,F艙,29.6,2.8,26.0,藻類,4
20310404,E艙,13.0,7.8,50.5,羽衣甘藍,3
2031-05-05,C艙,46.0,44.0,4.5,羽衣甘藍,9
2031-06-06,A艙,45.4,56.8,16.7,小麥,10
2031-07-07,F艙,70.1,98.4,57.8,大豆,7
2031-08-08,D艙,55.7,4.9,29.5,小麥,5
20310909,E艙,10.5,14.4,82.1,甘藷,7
2031/10/10,E艙,92.6,10.0,91.5,藻類,3
2031-11-11,D艙,44.8,19.8,71.5,番茄,
2031/12/12,C艙,42.4,29.7,34.9,大豆,1
2031-01-13,F艙,69.5,26.5,77.0,藻類,3
2031-02-14,E艙,99.7,32.4,77.6,藻類,8
2031-03-15,E艙,74.3,12.4,91.6,小麥,2
2031-04-16,C艙,6.1,27.7,62.1,羽衣甘藍,9
2031-02-14,D艙,9.4,62.5,75.0,羽衣甘藍,10
